Date;Open;High;Low;Close;Adj Close;Volume
29.09.2014;100.589996;100.690002;98.040001;99.620003;93.514290;142718700
06.10.2014;99.949997;102.379997;98.309998;100.730003;94.556244;280258200
13.10.2014;101.330002;101.779999;95.180000;97.669998;91.683792;358539800
20.10.2014;98.320000;105.489998;98.220001;105.220001;98.771042;358532900
27.10.2014;104.849998;108.040001;104.699997;108.000000;101.380676;220230600
03.11.2014;108.220001;110.300003;107.720001;109.010002;102.328766;199952900
10.11.2014;109.019997;114.190002;108.400002;114.180000;107.646675;205166700
17.11.2014;114.269997;117.570000;113.300003;116.470001;109.805626;233414700
24.11.2014;116.849998;119.750000;116.620003;118.930000;112.124863;181873900
01.12.2014;118.809998;119.250000;111.269997;115.000000;108.419746;266589700
08.12.2014;114.099998;114.849998;109.349998;109.730003;103.451294;259868000
15.12.2014;110.699997;113.239998;106.260002;111.779999;105.383980;328856600
22.12.2014;112.160004;114.519997;111.970001;113.989998;107.467529;119396500
29.12.2014;113.790001;114.769997;107.349998;109.330002;103.074181;152088400
05.01.2015;108.290001;113.250000;104.629997;112.010002;105.600830;283252500
12.01.2015;112.599998;112.800003;105.199997;105.989998;99.925285;303607000
19.01.2015;107.839996;113.750000;106.500000;112.980003;106.515343;198737000
26.01.2015;113.739998;120.000000;109.029999;117.160004;110.456146;465842700
02.02.2015;118.050003;120.510002;116.080002;118.930000;112.124863;270757300
09.02.2015;118.550003;127.480003;118.430000;127.080002;120.281372;303206800
16.02.2015;127.489998;129.500000;126.919998;129.500000;122.571915;194354900
23.02.2015;130.020004;133.600006;126.610001;128.460007;121.587555;368216200
02.03.2015;129.250000;130.279999;125.760002;126.599998;119.827042;246938500
09.03.2015;127.959999;129.570007;121.629997;123.589996;116.978073;326514100
16.03.2015;123.879997;129.250000;122.870003;125.900002;119.164505;266672900
23.03.2015;127.120003;128.039993;122.599998;123.250000;116.656273;209326300
30.03.2015;124.050003;126.489998;123.099998;125.320000;118.615524;162031800
06.04.2015;124.470001;128.119995;124.330002;127.099998;120.300301;182207500
13.04.2015;128.369995;128.570007;124.459999;124.750000;118.076019;171186100
20.04.2015;125.570000;130.630005;125.169998;130.279999;123.310150;207440700
